,進站人次,出站人次,舊版4碼代碼,新版代碼,站名,英文站名,等級別,停靠列車次,進/出,出/進
220,104283,111028,1907,7335,平溪,Pingsi,簡易站,32,0.939249558669885,1.0646797656377358
221,201822,191790,1908,7336,菁桐,Jingtong,簡易站,32,1.0523072110120444,0.9502928322977673
218,7192,9472,1905,7333,望古,Wanggu,招呼站,32,0.7592905405405406,1.3170189098998888
193,72564,76076,1704,7100,東澳,Dongao,二等站,32,0.9538356380461643,1.0483986549804312
145,29329,28078,1416,5100,佳冬,Jiadong,簡易站,32,1.0445544554455446,0.957345971563981
146,15272,17590,1417,5110,東海,Donghai,招呼站,32,0.868220579874929,1.1517810371922472
143,3505,3326,1414,5080,鎮安,Jhenan,招呼站,32,1.0538184004810582,0.9489300998573467
141,31818,33956,1412,5060,崁頂,Kanding,招呼站,32,0.9370361644481093,1.0671946696838268
154,56718,60074,1514,5220,太麻里,Taimali,三等站,29,0.9441355661351001,1.0591699284177862
151,62848,63677,1508,5190,大武,Dawu,三等站,29,0.9869811705953484,1.0131905549898168
184,46132,45583,1714,7010,北埔,Beipu,三等站,26,1.0120439637584187,0.9880993670337292
84,5073,6154,2704,3433,龍泉,Lungcyuan,招呼站,23,0.8243418914527136,1.2130889020303568
82,7806,8003,2702,3431,源泉,Yuanciyuan,招呼站,23,0.9753842309134074,1.025236997181655
83,45865,41408,2703,3432,濁水,Jhuoshuei,簡易站,23,1.1076362055641422,0.9028235037610378
85,157067,125673,2705,3434,集集,Jiji,招呼站,23,1.2498070389025486,0.8001235141691125
86,59065,60551,2706,3435,水里,Shueili,簡易站,23,0.9754587042327955,1.0251587234402777
188,19537,24061,1710,7050,和仁,Horen,三等站,22,0.811977889530776,1.2315606285509546
87,150912,187142,2707,3436,車埕,Checheng,招呼站,22,0.8064036934520311,1.240073685326548
153,145414,135474,1512,5210,金崙,Jinlun,三等站,22,1.0733720123418515,0.931643445610464
194,2915,3108,1703,7110,永樂,Yongle,三等站,20,0.9379021879021879,1.0662092624356776
187,11875,11331,1711,7040,崇德,Chongde,三等站,20,1.0480098843879622,0.9541894736842105
160,12526,11746,1629,6030,瑞源,Rueiyuan,三等站,19,1.0664055848799592,0.9377295225930066
185,4378,6702,1713,7020,景美,Jingmei,招呼站,19,0.6532378394509102,1.5308359981726816
171,13856,12843,1614,6140,富源,Fuyuan,三等站,18,1.0788756521062057,0.9268908775981525
178,18061,17701,1607,6210,豐田,Fongtian,三等站,17,1.0203378340206768,0.9800675488621893
224,91677,98958,6103,7361,海科館,Haikeguan,招呼站,16,0.926423331110168,1.079420138093524
225,86076,103624,2003,7362,八斗子,Badouzi,招呼站,16,0.8306569906585347,1.2038663506668525
191,7532,8961,1706,7080,武塔,Wuta,招呼站,16,0.8405311907153219,1.1897238449283059
190,5475,5860,1708,7070,漢本,Hanben,三等站,16,0.9343003412969283,1.0703196347031962
174,13138,16050,1611,6170,萬榮,Wanrong,三等站,16,0.8185669781931464,1.2216471304612575
158,1733,2852,1631,6010,山里,Shanli,三等站,15,0.6076437587657784,1.6457010963646854
166,3619,4049,1622,6090,東竹,Dongjhu,三等站,15,0.8938009385033342,1.1188173528599061
161,2383,2183,1628,6040,瑞和,Rueihe,招呼站,15,1.091617040769583,0.9160721779269828
167,4608,4304,1621,6100,東里,Dongli,三等站,15,1.070631970260223,0.9340277777777778
180,3485,5046,1605,6230,平和,Pinghe,招呼站,13,0.6906460562822038,1.447919655667145
176,6050,6995,1609,6190,南平,Nanping,三等站,13,0.8649035025017869,1.156198347107438
163,1964,2844,1625,6060,海端,Haiduan,招呼站,12,0.6905766526019691,1.4480651731160896
152,7189,9312,1510,5200,瀧溪,Lunghsi,簡易站,12,0.7720146048109966,1.2953122826540548
169,2890,3629,1617,6120,三民,Sanmin,三等站,12,0.7963626343345274,1.2557093425605537
172,1875,1799,1613,6150,大富,Dafu,招呼站,12,1.0422456920511396,0.9594666666666667
177,11199,10213,1608,6200,林榮新光,Linrong Shin Kong,簡易站,12,1.096543620875355,0.9119564246807751
156,3804,4946,1517,5240,康樂,Kangle,簡易站,11,0.7691063485644966,1.300210304942166
150,338,705,1504,5160,枋山,Fangshan,招呼站,4,0.4794326241134752,2.0857988165680474
149,210,300,1503,5140,內獅,Neishih,招呼站,4,0.7,1.4285714285714286
148,5735,431,1502,5130,加祿,Jialu,三等站,4,13.306264501160094,0.07515257192676547
